category,method,path,base_url,summary,tags,deprecated,official_docs
partner-api,POST,/v2/businesses/{businessId}/promos,https://api.partner.market.yandex.ru,Получение списка акций,promos; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/promos/offers,https://api.partner.market.yandex.ru,"Получение списка товаров, которые участвуют или могут участвовать в акции",promos; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/promos/offers/delete,https://api.partner.market.yandex.ru,Удаление товаров из акции,promos; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/promos/offers/update,https://api.partner.market.yandex.ru,Добавление товаров в акцию или изменение их цен,promos; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/ratings/quality,https://api.partner.market.yandex.ru,Индекс качества магазинов,ratings; fby; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/settings,https://api.partner.market.yandex.ru,Настройки кабинета,businesses; dbs; fbs; fby; express; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/businesses/{businessId}/warehouses,https://api.partner.market.yandex.ru,Список складов и групп складов,warehouses; fbs; dbs; express,True,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/businesses/{businessId}/warehouses,https://api.partner.market.yandex.ru,Список складов,warehouses; fbs; dbs; express,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns,https://api.partner.market.yandex.ru,Список магазинов пользователя,campaigns; dbs; express; fbs; fby; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns/{campaignId},https://api.partner.market.yandex.ru,Информация о магазине,campaigns; dbs; express; fbs; fby; laas,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,PUT,/v2/campaigns/{campaignId}/bids,https://api.partner.market.yandex.ru,Включение буста продаж и установка ставок для магазина,bids; dbs; fbs; express; fby,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,PUT,/v2/campaigns/{campaignId}/first-mile/shipments,https://api.partner.market.yandex.ru,Получение информации о нескольких отгрузках,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId},https://api.partner.market.yandex.ru,Получение информации об одной отгрузке,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId}/act,https://api.partner.market.yandex.ru,Получение акта приема-передачи,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,POST,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId}/confirm,https://api.partner.market.yandex.ru,Подтверждение отгрузки,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId}/discrepancy-act,https://api.partner.market.yandex.ru,Получение акта расхождений,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
partner-api,GET,/v2/campaigns/{campaignId}/first-mile/shipments/{shipmentId}/inbound-act,https://api.partner.market.yandex.ru,Получение фактического акта приема-передачи,shipments; fbs,False,https://yandex.ru/dev/market/partner-api/doc/ru/
